Heartrate;Speed;Cadence;Steplenght;Inclination;Timestamp
78;0.28851312;0.595;0.484896;2.5;2020-03-04 16:54:29.235000
78;0.28506688;0.595;0.479104;3.5;2020-03-04 16:54:30.250000
78;0.279896;0.59;0.4744;3.5;2020-03-04 16:54:31.281000
78;0.2848248;0.585;0.48688;3.5;2020-03-04 16:54:32.296000
78;0.27368576;0.58;0.471872;2.5;2020-03-04 16:54:33.327000
78;0.28369088;0.59;0.480832;3.5;2020-03-04 16:54:35.359000
78;0.27448064;0.595;0.461312;3.5;2020-03-04 16:54:37.364000
78;0.26667792;0.57;0.467856;2.5;2020-03-04 16:54:39.370000
78;0.27628944;0.595;0.464352;2.5;2020-03-04 16:54:41.391000
77;0.28556968;0.605;0.472016;2.5;2020-03-04 16:54:42.409000
77;0.2864796;0.605;0.47352;2.5;2020-03-04 16:54:45.417000
76;0.285968;0.61;0.4688;1.5;2020-03-04 16:54:47.422000
76;0.2873024;0.605;0.47488;2.5;2020-03-04 16:54:49.443000
77;0.2855076;0.615;0.46424;1.5;2020-03-04 16:54:50.461000
77;0.27432608;0.58;0.472976;2.5;2020-03-04 16:54:53.491000
77;0.28816088;0.595;0.484304;3.5;2020-03-04 16:54:54.509000
77;0.299856;0.6;0.49976;1.5;2020-03-04 16:54:56.515000
77;0.29107248;0.61;0.477168;3.5;2020-03-04 16:54:58.521000
77;0.27997752;0.615;0.455248;2.5;2020-03-04 16:55:00.541000
77;0.2785668;0.575;0.484464;1.5;2020-03-04 16:55:01.560000
77;0.2664444;0.555;0.48008;1.5;2020-03-04 16:55:04.568000
77;0.26221424;0.565;0.464096;3.5;2020-03-04 16:55:06.588000
77;0.2637888;0.55;0.479616;1.5;2020-03-04 16:55:07.607000
78;0.26823616;0.535;0.501376;1.5;2020-03-04 16:55:10.615000
78;0.27482824;0.545;0.504272;2.5;2020-03-04 16:55:12.642000
78;0.27011944;0.545;0.495632;2.5;2020-03-04 16:55:13.660000
78;0.2706616;0.55;0.492112;1.5;2020-03-04 16:55:15.665000
78;0.27093768;0.555;0.488176;2.5;2020-03-04 16:55:17.670000
78;0.27010672;0.59;0.457808;2.5;2020-03-04 16:55:19.676000
78;0.27787928;0.595;0.467024;2.5;2020-03-04 16:55:21.680000
77;0.27317472;0.59;0.463008;3.5;2020-03-04 16:55:23.702000
77;0.26765376;0.58;0.461472;3.5;2020-03-04 16:55:24.720000
77;0.27121024;0.56;0.484304;1.5;2020-03-04 16:55:27.728000
78;0.25963344;0.555;0.467808;1.5;2020-03-04 16:55:29.733000
78;0.2608936;0.55;0.474352;3.5;2020-03-04 16:55:31.739000
78;0.26026272;0.54;0.481968;1.5;2020-03-04 16:55:33.760000
78;0.27697112;0.515;0.537808;1.5;2020-03-04 16:55:34.778000
77;0.27812976;0.505;0.550752;3.5;2020-03-04 16:55:35.803000
77;0.267208;0.5;0.534416;2.5;2020-03-04 16:55:36.821000
77;0.2644248;0.51;0.51848;1.5;2020-03-04 16:55:38.858000
77;0.26892864;0.54;0.498016;2.5;2020-03-04 16:55:39.878000
77;0.273056;0.56;0.4876;1.5;2020-03-04 16:55:42.886000
78;0.26910384;0.57;0.472112;3.5;2020-03-04 16:55:44.891000
78;0.29712704;0.58;0.512288;3.5;2020-03-04 16:55:46.912000
78;0.292032;0.585;0.4992;2.5;2020-03-04 16:55:47.930000
78;0.29388608;0.59;0.498112;3.5;2020-03-04 16:55:48.955000
78;0.30203784;0.585;0.516304;2.5;2020-03-04 16:55:49.989000
78;0.30171592;0.605;0.498704;2.5;2020-03-04 16:55:51.007000
78;0.30855;0.625;0.49368;1.5;2020-03-04 16:55:52.039000
78;0.30539;0.625;0.488624;2.5;2020-03-04 16:55:53.071000
78;0.30288736;0.62;0.488528;1.5;2020-03-04 16:55:54.090000
77;0.30009048;0.615;0.487952;2.5;2020-03-04 16:55:55.124000
77;0.308016;0.62;0.4968;3.5;2020-03-04 16:55:56.159000
77;0.30341312;0.62;0.489376;3.5;2020-03-04 16:55:57.174000
76;0.30514912;0.62;0.492176;2.5;2020-03-04 16:55:58.211000
76;0.31733088;0.62;0.511824;3.5;2020-03-04 16:55:59.245000
76;0.30783744;0.62;0.496512;3.5;2020-03-04 16:56:00.263000
76;0.2829984;0.615;0.46016;3.5;2020-03-04 16:56:03.270000
76;0.29863416;0.615;0.485584;2.5;2020-03-04 16:56:05.291000
