Heartrate;Speed;Cadence;Steplenght;Inclination;Timestamp
76;0.3804128;1.06;0.35888;2.5;2020-02-25 07:49:36.775000
76;0.37044768;1.02;0.363184;3.5;2020-02-25 07:49:37.810000
76;0.3723984;0.99;0.37616;3.5;2020-02-25 07:49:38.825000
77;0.35547592;1.055;0.336944;3.5;2020-02-25 07:49:39.872000
77;0.38609824;1.045;0.369472;2.5;2020-02-25 07:49:40.919000
77;0.39527056;1.135;0.348256;3.5;2020-02-25 07:49:42.976000
77;0.38123904;1.04;0.366576;3.5;2020-02-25 07:49:44.010000
78;0.34377992;1.045;0.328976;2.5;2020-02-25 07:49:45.028000
78;0.37040448;1.03;0.359616;2.5;2020-02-25 07:49:48.051000
79;0.35469456;0.93;0.381392;2.5;2020-02-25 07:49:49.069000
79;0.34871936;0.88;0.396272;2.5;2020-02-25 07:49:52.092000
77;0.3301672;0.85;0.388432;1.5;2020-02-25 07:49:53.117000
77;0.34357344;0.86;0.399504;2.5;2020-02-25 07:49:54.135000
76;0.37995256;0.895;0.424528;1.5;2020-02-25 07:49:57.158000
76;0.42657984;0.93;0.458688;2.5;2020-02-25 07:49:58.176000
76;0.46621008;0.945;0.493344;1.5;2020-02-25 07:49:59.194000
76;0.49870864;0.955;0.522208;2.5;2020-02-25 07:50:00.212000
76;0.51984936;0.965;0.538704;3.5;2020-02-25 07:50:01.237000
77;0.51923712;0.97;0.535296;1.5;2020-02-25 07:50:02.255000
78;0.5069376;0.975;0.519936;3.5;2020-02-25 07:50:03.273000
78;0.47410272;1.005;0.471744;1.5;2020-02-25 07:50:06.296000
81;0.492016;1.0;0.492016;1.5;2020-02-25 07:50:07.314000
81;0.526576;1.0;0.526576;3.5;2020-02-25 07:50:10.344000
83;0.52821312;1.02;0.517856;1.5;2020-02-25 07:50:11.378000
84;0.54514432;1.015;0.537088;1.5;2020-02-25 07:50:12.395000
84;0.55151968;1.03;0.535456;2.5;2020-02-25 07:50:15.418000
85;0.5550912;1.035;0.53632;2.5;2020-02-25 07:50:18.441000
87;0.55077352;1.045;0.527056;1.5;2020-02-25 07:50:19.466000
87;0.56051728;1.055;0.531296;2.5;2020-02-25 07:50:20.500000
88;0.55446864;1.045;0.530592;2.5;2020-02-25 07:50:21.518000
88;0.5550384;1.05;0.528608;2.5;2020-02-25 07:50:24.542000
89;0.560532;1.05;0.53384;3.5;2020-02-25 07:50:25.559000
89;0.54719896;1.055;0.518672;3.5;2020-02-25 07:50:26.577000
89;0.5300736;1.05;0.504832;1.5;2020-02-25 07:50:27.586000
89;0.5551008;1.06;0.52368;1.5;2020-02-25 07:50:28.620000
89;0.54923568;1.085;0.506208;3.5;2020-02-25 07:50:29.638000
89;0.554592;1.06;0.5232;1.5;2020-02-25 07:50:30.657000
89;0.53302144;1.085;0.491264;1.5;2020-02-25 07:50:31.675000
89;0.54655752;1.055;0.518064;3.5;2020-02-25 07:50:32.693000
89;0.57051984;1.045;0.545952;2.5;2020-02-25 07:50:33.718000
89;0.5577996;1.055;0.52872;3.5;2020-02-25 07:50:34.736000
88;0.5781552;1.05;0.550624;3.5;2020-02-25 07:50:35.754000
88;0.55462616;1.055;0.525712;1.5;2020-02-25 07:50:38.777000
88;0.5269152;1.05;0.501824;1.5;2020-02-25 07:50:40.814000
89;0.5339532;1.045;0.51096;3.5;2020-02-25 07:50:42.856000
89;0.54258072;1.045;0.519216;3.5;2020-02-25 07:50:43.874000
89;0.54384864;1.065;0.510656;2.5;2020-02-25 07:50:44.892000
90;0.5468064;1.05;0.520768;3.5;2020-02-25 07:50:45.910000
90;0.5383872;1.04;0.51768;2.5;2020-02-25 07:50:46.928000
90;0.56326872;1.055;0.533904;2.5;2020-02-25 07:50:47.953000
90;0.54463104;1.08;0.504288;1.5;2020-02-25 07:50:48.971000
