Heartrate;Speed;Cadence;Steplenght;Inclination;Timestamp
104;1.2540836;1.045;1.20008;2.5;2020-03-04 08:59:36.741000
104;1.27617672;1.065;1.198288;3.5;2020-03-04 08:59:37.797000
104;1.2729024;1.05;1.212288;3.5;2020-03-04 08:59:38.865000
105;1.24136064;1.04;1.193616;3.5;2020-03-04 08:59:39.929000
105;1.23564;1.05;1.1768;2.5;2020-03-04 08:59:43.013000
105;1.1933064;1.045;1.14192;3.5;2020-03-04 08:59:44.043000
105;1.21598424;1.035;1.174864;3.5;2020-03-04 08:59:45.078000
105;1.18899904;1.03;1.154368;2.5;2020-03-04 08:59:46.103000
105;1.20939104;1.045;1.157312;2.5;2020-03-04 08:59:47.144000
105;1.24234776;1.035;1.200336;2.5;2020-03-04 08:59:48.170000
106;1.24472832;1.06;1.174272;2.5;2020-03-04 08:59:49.195000
105;1.2467784;1.05;1.187408;1.5;2020-03-04 08:59:50.220000
105;1.26720256;1.04;1.218464;2.5;2020-03-04 08:59:51.245000
105;1.24590816;1.035;1.203776;1.5;2020-03-04 08:59:52.271000
105;1.25386328;1.055;1.188496;2.5;2020-03-04 08:59:53.296000
105;1.24262528;1.04;1.194832;1.5;2020-03-04 08:59:54.336000
105;1.25908992;1.035;1.216512;2.5;2020-03-04 08:59:55.364000
104;1.2419064;1.025;1.211616;3.5;2020-03-04 08:59:56.404000
104;1.25581104;1.035;1.213344;1.5;2020-03-04 08:59:57.432000
104;1.29012336;1.035;1.246496;3.5;2020-03-04 08:59:58.473000
104;1.25612208;1.03;1.219536;2.5;2020-03-04 08:59:59.496000
104;1.21282304;1.04;1.166176;2.5;2020-03-04 09:00:00.520000
104;1.2307392;1.035;1.18912;1.5;2020-03-04 09:00:01.546000
103;1.2395432;1.03;1.20344;1.5;2020-03-04 09:00:02.571000
103;1.21280192;1.045;1.160576;1.5;2020-03-04 09:00:03.596000
103;1.22189616;1.035;1.180576;2.5;2020-03-04 09:00:04.621000
103;1.23642624;1.055;1.171968;2.5;2020-03-04 09:00:05.648000
103;1.22539208;1.045;1.172624;1.5;2020-03-04 09:00:06.672000
103;1.22953032;1.035;1.187952;2.5;2020-03-04 09:00:07.699000
103;1.23252696;1.055;1.168272;2.5;2020-03-04 09:00:08.724000
103;1.23692888;1.045;1.183664;3.5;2020-03-04 09:00:09.749000
102;1.25763264;1.035;1.215104;3.5;2020-03-04 09:00:10.772000
102;1.2500368;1.06;1.17928;1.5;2020-03-04 09:00:11.801000
102;1.25576912;1.07;1.173616;1.5;2020-03-04 09:00:12.824000
102;1.2609388;1.045;1.20664;3.5;2020-03-04 09:00:13.868000
102;1.23458816;1.04;1.187104;1.5;2020-03-04 09:00:14.894000
102;1.2281676;1.045;1.17528;1.5;2020-03-04 09:00:15.931000
102;1.24368376;1.045;1.190128;3.5;2020-03-04 09:00:16.958000
