Heartrate;Speed;Cadence;Steplenght;Inclination;Timestamp
82;0.6489808;0.82;0.79144;2.5;2020-02-20 07:47:21.049000
82;0.6596172;0.825;0.799536;3.5;2020-02-20 07:47:22.080000
83;0.64286784;0.81;0.793664;3.5;2020-02-20 07:47:23.096000
83;0.63675624;0.815;0.781296;3.5;2020-02-20 07:47:24.127000
83;0.64518792;0.845;0.763536;2.5;2020-02-20 07:47:25.158000
83;0.64026816;0.84;0.762224;3.5;2020-02-20 07:47:27.201000
83;0.64412568;0.835;0.771408;3.5;2020-02-20 07:47:29.205000
83;0.62761272;0.835;0.751632;2.5;2020-02-20 07:47:31.226000
83;0.62943216;0.83;0.758352;2.5;2020-02-20 07:47:32.244000
83;0.64240672;0.83;0.773984;2.5;2020-02-20 07:47:33.262000
83;0.65850208;0.83;0.793376;2.5;2020-02-20 07:47:34.281000
83;0.64270952;0.835;0.769712;1.5;2020-02-20 07:47:35.305000
83;0.6344664;0.835;0.75984;2.5;2020-02-20 07:47:36.324000
84;0.62949648;0.835;0.753888;1.5;2020-02-20 07:47:38.329000
84;0.6383704;0.85;0.751024;2.5;2020-02-20 07:47:40.350000
84;0.67338;0.87;0.774;1.5;2020-02-20 07:47:41.368000
84;0.67507936;0.86;0.784976;2.5;2020-02-20 07:47:42.386000
84;0.69087744;0.87;0.794112;3.5;2020-02-20 07:47:43.405000
84;0.73243936;0.895;0.818368;1.5;2020-02-20 07:47:44.429000
84;0.77072448;0.92;0.837744;3.5;2020-02-20 07:47:45.448000
84;0.80945568;0.935;0.865728;2.5;2020-02-20 07:47:47.453000
84;0.84014024;0.955;0.879728;1.5;2020-02-20 07:47:49.473000
85;0.911988;0.99;0.9212;3.5;2020-02-20 07:47:50.491000
86;0.91351936;1.03;0.886912;1.5;2020-02-20 07:47:51.509000
86;0.93729616;1.01;0.928016;1.5;2020-02-20 07:47:52.528000
87;0.9524628;1.025;0.929232;2.5;2020-02-20 07:47:53.552000
87;0.95817632;1.055;0.908224;2.5;2020-02-20 07:47:54.570000
88;0.95200768;1.04;0.915392;2.5;2020-02-20 07:47:56.591000
90;0.9662856;1.05;0.920272;2.5;2020-02-20 07:47:57.609000
90;0.97129208;1.055;0.920656;2.5;2020-02-20 07:48:00.632000
92;0.94780392;1.085;0.873552;3.5;2020-02-20 07:48:01.650000
93;0.96390168;1.065;0.905072;3.5;2020-02-20 07:48:02.675000
93;0.9745036;1.085;0.89816;1.5;2020-02-20 07:48:03.693000
94;0.98008968;1.065;0.920272;1.5;2020-02-20 07:48:05.698000
94;0.93863424;1.06;0.885504;3.5;2020-02-20 07:48:07.719000
94;0.96210976;1.07;0.899168;1.5;2020-02-20 07:48:08.737000
94;0.9435912;1.09;0.86568;1.5;2020-02-20 07:48:09.755000
94;0.94740368;1.07;0.885424;3.5;2020-02-20 07:48:10.773000
94;0.90973152;1.065;0.854208;2.5;2020-02-20 07:48:13.803000
