Heartrate;Speed;Cadence;Steplenght;Inclination;Timestamp
73;0.330368;0.58;0.5696;2.5;2020-03-10 09:52:59.932000
72;0.357282;0.575;0.62136;3.5;2020-03-10 09:53:00.963000
71;0.34821304;0.595;0.585232;3.5;2020-03-10 09:53:01.994000
71;0.3382096;0.58;0.58312;3.5;2020-03-10 09:53:03.025000
70;0.34714416;0.605;0.573792;2.5;2020-03-10 09:53:04.040000
70;0.35452;0.625;0.567232;3.5;2020-03-10 09:53:06.090000
69;0.33414248;0.595;0.561584;3.5;2020-03-10 09:53:07.108000
70;0.36738936;0.585;0.628016;2.5;2020-03-10 09:53:08.126000
70;0.3503656;0.59;0.59384;2.5;2020-03-10 09:53:09.144000
71;0.34740576;0.585;0.593856;2.5;2020-03-10 09:53:10.162000
71;0.35719992;0.595;0.600336;2.5;2020-03-10 09:53:11.187000
72;0.35231328;0.605;0.582336;1.5;2020-03-10 09:53:12.236000
73;0.375408;0.6;0.62568;2.5;2020-03-10 09:53:13.272000
74;0.3589536;0.6;0.598256;1.5;2020-03-10 09:53:14.341000
74;0.3512736;0.6;0.585456;2.5;2020-03-10 09:53:16.382000
75;0.3374364;0.595;0.56712;1.5;2020-03-10 09:53:17.400000
75;0.36335936;0.595;0.610688;2.5;2020-03-10 09:53:18.418000
76;0.34696584;0.585;0.593104;3.5;2020-03-10 09:53:21.441000
78;0.3458988;0.585;0.59128;1.5;2020-03-10 09:53:22.459000
78;0.34520616;0.585;0.590096;3.5;2020-03-10 09:53:23.484000
79;0.33614896;0.59;0.569744;2.5;2020-03-10 09:53:24.502000
79;0.3373152;0.6;0.562192;1.5;2020-03-10 09:53:25.520000
79;0.32145536;0.61;0.526976;3.5;2020-03-10 09:53:28.528000
80;0.32392768;0.62;0.522464;1.5;2020-03-10 09:53:30.548000
79;0.31782344;0.605;0.525328;2.5;2020-03-10 09:53:31.566000
79;0.31569248;0.59;0.535072;2.5;2020-03-10 09:53:32.591000
80;0.3220512;0.6;0.536752;1.5;2020-03-10 09:53:33.609000
80;0.31560752;0.59;0.534928;2.5;2020-03-10 09:53:35.614000
80;0.31666104;0.615;0.514896;2.5;2020-03-10 09:53:37.635000
81;0.313104;0.6;0.52184;2.5;2020-03-10 09:53:38.653000
80;0.3137088;0.6;0.522848;3.5;2020-03-10 09:53:39.671000
80;0.32954688;0.585;0.563328;3.5;2020-03-10 09:53:40.689000
80;0.3229248;0.605;0.53376;1.5;2020-03-10 09:53:41.714000
80;0.32374664;0.595;0.544112;1.5;2020-03-10 09:53:42.732000
80;0.3461088;0.62;0.55824;3.5;2020-03-10 09:53:44.737000
79;0.36844;0.625;0.589504;1.5;2020-03-10 09:53:46.758000
79;0.45906528;0.69;0.665312;1.5;2020-03-10 09:53:47.776000
79;0.4819248;0.735;0.65568;3.5;2020-03-10 09:53:48.795000
79;0.4971;0.75;0.6628;2.5;2020-03-10 09:53:49.813000
80;0.502536;0.75;0.670048;3.5;2020-03-10 09:53:50.837000
79;0.51997968;0.765;0.679712;3.5;2020-03-10 09:53:51.856000
79;0.53073328;0.77;0.689264;1.5;2020-03-10 09:53:53.861000
