Heartrate;Speed;Cadence;Steplenght;Inclination;Timestamp
89;0.5435744;0.925;0.587648;2.5;2020-03-17 08:44:44.844000
89;0.57904;0.94;0.616;3.5;2020-03-17 08:44:45.860000
90;0.639312;1.0;0.639312;3.5;2020-03-17 08:44:46.875000
91;0.63721568;1.03;0.618656;3.5;2020-03-17 08:44:47.891000
91;0.651756;1.05;0.62072;2.5;2020-03-17 08:44:48.922000
92;0.67421808;1.215;0.554912;3.5;2020-03-17 08:44:53.015000
93;0.65468128;1.22;0.536624;3.5;2020-03-17 08:44:54.052000
93;0.6815;1.25;0.5452;2.5;2020-03-17 08:44:55.071000
93;0.67079248;1.255;0.534496;2.5;2020-03-17 08:44:57.499000
94;0.7091904;1.29;0.54976;2.5;2020-03-17 08:44:58.524000
95;0.7160616;1.35;0.530416;2.5;2020-03-17 08:45:00.498000
97;0.69463584;1.305;0.532288;1.5;2020-03-17 08:45:01.546000
97;0.6864928;1.33;0.51616;2.5;2020-03-17 08:45:02.613000
99;0.69049344;1.365;0.505856;1.5;2020-03-17 08:45:03.643000
100;0.6833184;1.325;0.515712;2.5;2020-03-17 08:45:04.661000
101;0.7037416;1.37;0.51368;1.5;2020-03-17 08:45:05.679000
102;0.6930704;1.325;0.523072;2.5;2020-03-17 08:45:06.697000
102;0.69607968;1.335;0.521408;3.5;2020-03-17 08:45:07.716000
104;0.72884;1.37;0.532;1.5;2020-03-17 08:45:08.740000
105;0.71873312;1.34;0.536368;3.5;2020-03-17 08:45:09.774000
106;0.72364656;1.365;0.530144;2.5;2020-03-17 08:45:10.792000
107;0.6951112;1.33;0.52264;2.5;2020-03-17 08:45:11.811000
107;0.6968176;1.345;0.51808;1.5;2020-03-17 08:45:12.829000
107;0.70051632;1.33;0.526704;1.5;2020-03-17 08:45:13.853000
107;0.69041088;1.34;0.515232;3.5;2020-03-17 08:45:14.872000
107;0.67125616;1.37;0.489968;1.5;2020-03-17 08:45:16.877000
108;0.7127784;1.35;0.527984;2.5;2020-03-17 08:45:18.882000
108;0.75145056;1.34;0.560784;1.5;2020-03-17 08:45:20.903000
108;0.7092576;1.35;0.525376;2.5;2020-03-17 08:45:21.921000
108;0.70775584;1.34;0.528176;2.5;2020-03-17 08:45:22.939000
109;0.70523216;1.37;0.514768;2.5;2020-03-17 08:45:23.958000
110;0.69017504;1.34;0.515056;3.5;2020-03-17 08:45:24.982000
111;0.68177776;1.37;0.497648;3.5;2020-03-17 08:45:26
112;0.6667704;1.35;0.493904;1.5;2020-03-17 08:45:28.005000
114;0.71391264;1.38;0.517328;1.5;2020-03-17 08:45:30.011000
115;0.69639024;1.365;0.510176;3.5;2020-03-17 08:45:32.032000
117;0.68239488;1.41;0.483968;1.5;2020-03-17 08:45:33.050000
117;0.67671952;1.355;0.499424;1.5;2020-03-17 08:45:34.069000
118;0.6927216;1.385;0.50016;3.5;2020-03-17 08:45:35.087000
118;0.6541992;1.35;0.484592;2.5;2020-03-17 08:45:36.111000
119;0.6638048;1.415;0.46912;3.5;2020-03-17 08:45:37.130000
119;0.68715904;1.36;0.505264;3.5;2020-03-17 08:45:39.135000
120;0.74474264;1.345;0.553712;1.5;2020-03-17 08:45:41.156000
121;0.72850416;1.335;0.545696;2.5;2020-03-17 08:45:42.174000
121;0.7202216;1.33;0.54152;1.5;2020-03-17 08:45:45.198000
123;0.72136576;1.36;0.530416;3.5;2020-03-17 08:45:46.216000
123;0.70025592;1.365;0.513008;3.5;2020-03-17 08:45:47.241000
123;0.70420192;1.37;0.514016;2.5;2020-03-17 08:45:48.259000
123;0.7180992;1.37;0.52416;3.5;2020-03-17 08:45:50.265000
124;0.71731296;1.365;0.525504;2.5;2020-03-17 08:45:52.285000
124;0.69835584;1.365;0.511616;2.5;2020-03-17 08:45:53.303000
124;0.70019328;1.36;0.514848;1.5;2020-03-17 08:45:56.326000
124;0.69514496;1.36;0.511136;2.5;2020-03-17 08:45:57.345000
124;0.69595344;1.365;0.509856;1.5;2020-03-17 08:45:58.369000
125;0.70254;1.35;0.5204;2.5;2020-03-17 08:45:59.388000
126;0.73683816;1.355;0.543792;3.5;2020-03-17 08:46:01.393000
129;0.68687568;1.395;0.492384;3.5;2020-03-17 08:46:03.398000
131;0.68546176;1.36;0.504016;2.5;2020-03-17 08:46:05.403000
133;0.72547408;1.385;0.523808;3.5;2020-03-17 08:46:07.424000
134;0.7028328;1.425;0.493216;3.5;2020-03-17 08:46:08.442000
134;0.70134368;1.42;0.493904;3.5;2020-03-17 08:46:11.466000
135;0.67672304;1.435;0.471584;2.5;2020-03-17 08:46:12.484000
135;0.66730176;1.38;0.483552;2.5;2020-03-17 08:46:13.509000
135;0.682528;1.385;0.4928;2.5;2020-03-17 08:46:14.527000
135;0.666666;1.375;0.484848;2.5;2020-03-17 08:46:16.548000
135;0.62648536;1.385;0.452336;2.5;2020-03-17 08:46:17.566000
