Heartrate;Speed;Cadence;Steplenght;Inclination;Timestamp
73;0.39528168;0.505;0.782736;2.5;2020-02-26 16:50:46.482000
74;0.39840864;0.505;0.788928;3.5;2020-02-26 16:50:49.809000
74;0.39807736;0.505;0.788272;3.5;2020-02-26 16:50:50.827000
74;0.48119808;0.66;0.729088;3.5;2020-02-26 16:52:48.944000
76;0.48404928;0.66;0.733408;2.5;2020-02-26 16:52:50.879000
75;0.48903568;0.665;0.735392;2.5;2020-02-26 16:52:53.370000
75;0.48513344;0.685;0.708224;2.5;2020-02-26 16:52:57.411000
75;0.47650048;0.68;0.700736;2.5;2020-02-26 16:52:59.015000
76;0.47865608;0.685;0.698768;2.5;2020-02-26 16:53:00.034000
76;0.4693896;0.675;0.695392;1.5;2020-02-26 16:53:01.792000
